  ;pc1  ;pc2  ;pc3  ;pc4  ;pc5  ;pc6  ;pc7  ;pc8  ;pc9  ;pc10 ;pc11 ;pc12 ;pc13 ;pc14 ;pc15 ;pc_I_O
A ;4320 ;3240 ;0    ;6480 ;2880 ;6480 ;9360 ;3960 ;3600 ;3600 ;7560 ;0    ;2160 ;5040 ;0    ;720
B ;2880 ;5400 ;1800 ;5400 ;2880 ;648  ;9360 ;7920 ;1800 ;0    ;0    ;5040 ;5400 ;3240 ;720  ;720
C ;4320 ;5400 ;1800 ;4320 ;2880 ;5040 ;9360 ;7560 ;1080 ;0    ;7560 ;3960 ;0    ;5400 ;720  ;720
D ;1440 ;5400 ;0    ;3960 ;2880 ;3600 ;8640 ;4320 ;1440 ;0    ;7560 ;4320 ;1440 ;2520 ;0    ;720
E ;2160 ;4320 ;0    ;1440 ;3240 ;3240 ;4680 ;2880 ;0    ;0    ;3240 ;4320 ;3240 ;0    ;0    ;720
F ;2880 ;4680 ;2520 ;720  ;0    ;4320 ;0    ;2880 ;360  ;360  ;2160 ;5040 ;2880 ;720  ;1080 ;720
G ;4320 ;2160 ;2520 ;1080 ;0    ;4320 ;0    ;2880 ;360  ;720  ;1800 ;0    ;0    ;1080 ;360  ;720
H ;3600 ;900  ;2520 ;0    ;1440 ;3600 ;6480 ;5040 ;720  ;360  ;0    ;7560 ;720  ;1800 ;720  ;720
